=== INICIO DE CORRIDA DISTRIBUIDA ===
Fecha: 2026-03-14 15:08:17
=====================================
[15:08:38] config_enviada | procesador=procesador1 | archivo=quijote.txt | instr=Piano
[15:08:38] config_enviada | procesador=procesador2 | archivo=mio_cid.txt | instr=Vibraphone
[15:08:41] evento_sonado | nodo=quijote | oracion=1 | nota=14 | intensidad=104 | instr=Piano
[15:08:41] evento_sonado | nodo=mio_cid | oracion=1 | nota=48 | intensidad=114 | instr=Vibraphone
[15:08:44] evento_sonado | nodo=quijote | oracion=2 | nota=24 | intensidad=108 | instr=Piano
[15:08:44] evento_sonado | nodo=mio_cid | oracion=2 | nota=35 | intensidad=127 | instr=Vibraphone
[15:08:47] evento_sonado | nodo=quijote | oracion=3 | nota=21 | intensidad=46 | instr=Piano
[15:08:47] evento_sonado | nodo=mio_cid | oracion=3 | nota=45 | intensidad=38 | instr=Vibraphone
[15:08:50] evento_sonado | nodo=quijote | oracion=4 | nota=9 | intensidad=31 | instr=Piano
[15:08:50] evento_sonado | nodo=mio_cid | oracion=4 | nota=19 | intensidad=25 | instr=Vibraphone
[15:08:53] evento_sonado | nodo=quijote | oracion=5 | nota=9 | intensidad=23 | instr=Piano
[15:08:53] evento_sonado | nodo=mio_cid | oracion=5 | nota=12 | intensidad=51 | instr=Vibraphone
[15:08:55] evento_sonado | nodo=quijote | oracion=6 | nota=20 | intensidad=15 | instr=Piano
[15:08:56] evento_sonado | nodo=mio_cid | oracion=6 | nota=34 | intensidad=25 | instr=Vibraphone
[15:08:58] evento_sonado | nodo=quijote | oracion=7 | nota=15 | intensidad=50 | instr=Piano
[15:08:58] evento_sonado | nodo=mio_cid | oracion=7 | nota=45 | intensidad=38 | instr=Vibraphone
[15:09:01] evento_sonado | nodo=quijote | oracion=8 | nota=26 | intensidad=15 | instr=Piano
[15:09:01] evento_sonado | nodo=mio_cid | oracion=8 | nota=25 | intensidad=51 | instr=Vibraphone
